"date","day","month","year","n_cases","n_deaths","country","geo_id","country_code","n_population_2018","n_cases_sum","dss","rsq","K","Y0","r","max_day"
"2020-01-13",13,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-14",14,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-15",15,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-16",16,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-17",17,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-18",18,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-19",19,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-20",20,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-21",21,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-22",22,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-23",23,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-24",24,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-25",25,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-26",26,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-27",27,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-28",28,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-29",29,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-30",30,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-31",31,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-02-01",1,2,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-02-02",2,2,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-02-03",3,2,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-02-04",4,2,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-02-05",5,2,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-02-06",6,2,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-02-07",7,2,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-02-08",8,2,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-02-09",9,2,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-02-10",10,2,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-02-11",11,2,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-02-12",12,2,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-02-13",13,2,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-02-14",14,2,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-02-15",15,2,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-02-16",16,2,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-02-17",17,2,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-02-18",18,2,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
